"209.170.125.208","209.170.125.223","3517611472","3517611487","SE","Sweden"
"80.242.192.0","80.242.207.255","1358086144","1358090239","CH","Switzerland"
"200.31.64.0","200.31.95.255","3357491200","3357499391","CO","Colombia"
"203.190.128.0","203.190.159.255","3418259456","3418267647","IN","India"
"207.132.98.0","207.133.255.255","3481559552","3481665535","US","United States"
"66.178.81.200","66.178.81.207","1118982600","1118982607","A2","Satellite Provider"
"213.152.115.0","213.152.117.255","3583537920","3583538687","IL","Israel"
"62.146.105.136","62.146.109.207","1049782664","1049783759","DE","Germany"
"212.63.180.20","212.63.180.23","3560944660","3560944663","MZ","Mozambique"
"195.79.12.0","195.79.12.79","3276737536","3276737615","IT","Italy"
